evaluation,tour,source,surface,split,rows,date_min,date_max,log_loss,accuracy,roc_auc,brier_score,positive_rate,avg_pred_prob
start_state_no_live_counts,atp,sackmann,Hard,validation,1640,2023-01-02,2023-11-27,0.643596598223309,0.6219512195121951,0.6713687996323173,0.22672084201570558,0.4945121951219512,0.4969510335350055
start_state_no_live_counts,atp,sackmann,Hard,test,1709,2024-01-01,2024-12-18,0.6451816389724649,0.6079578700994733,0.6696351534574141,0.2270737909245805,0.5002925687536571,0.5037704577861366
start_state_no_live_counts,atp,sackmann,Clay,validation,873,2023-02-03,2023-09-16,0.6589016000902167,0.570446735395189,0.6357278567379758,0.2336869827538458,0.5005727376861397,0.4847068122988166
start_state_no_live_counts,atp,sackmann,Clay,test,950,2024-02-02,2024-09-14,0.6450731851964419,0.5978947368421053,0.6598410608941544,0.227771326837159,0.4978947368421053,0.4898027916530013
start_state_no_live_counts,atp,sackmann,Grass,validation,325,2023-06-12,2023-09-16,0.6406600227097204,0.6307692307692307,0.6842384306596986,0.22548974150109635,0.49846153846153846,0.4753301465505565
start_state_no_live_counts,atp,sackmann,Grass,test,315,2024-02-03,2024-07-15,0.6149054834758088,0.6317460317460317,0.7056760461178746,0.2144284350707938,0.5015873015873016,0.49134119341336874
start_state_no_live_counts,atp,tml,Hard,validation,1649,2023-01-02,2023-11-27,0.6426032361381429,0.6185567010309279,0.6732379499892536,0.22623839493653225,0.5136446331109763,0.5032326930787178
start_state_no_live_counts,atp,tml,Hard,test,1695,2024-01-01,2024-12-18,0.6440442770932311,0.6088495575221239,0.6716682403206354,0.22655243092635913,0.5079646017699115,0.501314215277531
start_state_no_live_counts,atp,tml,Clay,validation,873,2023-02-03,2023-09-16,0.6581776979709812,0.570446735395189,0.6362672545006036,0.23338313789287002,0.5017182130584192,0.5056866448894533
start_state_no_live_counts,atp,tml,Clay,test,951,2024-02-02,2024-09-14,0.6447399833003112,0.5951629863301787,0.6602344095532949,0.22761164384853638,0.5005257623554153,0.5021916016433317
start_state_no_live_counts,atp,tml,Grass,validation,325,2023-06-12,2023-09-16,0.6421545180526379,0.6307692307692307,0.6773863636363637,0.2261635874505819,0.5076923076923077,0.4906490794519851
start_state_no_live_counts,atp,tml,Grass,test,315,2024-02-03,2024-07-15,0.6142793046193697,0.6317460317460317,0.7101877326428225,0.21414147923405855,0.46984126984126984,0.5075384426592887
start_state_no_live_counts,wta,sackmann,Hard,validation,1654,2023-01-02,2023-11-10,0.6490418509747371,0.6178960096735188,0.661630319860667,0.22914906297736384,0.5060459492140266,0.4964697578690638
start_state_no_live_counts,wta,sackmann,Hard,test,1533,2024-01-01,2024-11-13,0.637914520699028,0.6360078277886497,0.6822545563639091,0.22399752804789977,0.48075668623613826,0.480305623952315
start_state_no_live_counts,wta,sackmann,Clay,validation,757,2023-04-03,2023-07-24,0.6604538691680846,0.5944517833553501,0.6387061862868314,0.23424869949179036,0.5085865257595773,0.48797091743175297
start_state_no_live_counts,wta,sackmann,Clay,test,708,2024-04-01,2024-11-25,0.6496910042556867,0.6059322033898306,0.6659456784605439,0.2291056342201558,0.4929378531073446,0.48044312706617404
start_state_no_live_counts,wta,sackmann,Grass,validation,299,2023-06-12,2023-07-03,0.6050889584814313,0.6789297658862876,0.7463611859838275,0.20832624966082003,0.5317725752508361,0.4955411112987503
start_state_no_live_counts,wta,sackmann,Grass,test,288,2024-06-10,2024-07-01,0.6374099597806758,0.6423611111111112,0.688465250965251,0.2232835320271862,0.5138888888888888,0.5110337517175113
