evaluation,group,value,rows,matches,date_min,date_max,log_loss,accuracy,roc_auc,brier_score,positive_rate,avg_pred_prob
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,split,test,8897,2277,2024-01-01,2025-12-14,0.5882233840351331,0.6717994829717883,0.7490088090865399,0.20015586651704612,0.531190288861414,0.5163548680910192
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,test:checkpoint_type,late_game_start_total_ge10,3258,951,2024-01-02,2025-12-14,0.6141219091532839,0.6562308164518109,0.7268294658374563,0.21155143723677985,0.532842234499693,0.5204046667554526
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,test:checkpoint_type,match_start,2277,2277,2024-01-01,2025-12-14,0.6931471805599454,0.5357927097057532,0.5,0.25,0.5357927097057532,0.5
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,test:checkpoint_type,set_start,3362,2277,2024-01-01,2025-12-14,0.492063693517009,0.7790005948839976,0.8508387630241604,0.15535459901389959,0.5264723378941106,0.5235070961084273
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,test:tour_surface,atp/Clay,1550,380,2024-01-13,2025-11-07,0.6156456810897182,0.6535483870967742,0.7241448692152916,0.20972243356913223,0.5419354838709678,0.5200338174306558
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,test:tour_surface,atp/Grass,671,118,2024-06-11,2025-07-13,0.5904439841480223,0.6929955290611028,0.7653133519873727,0.19734908242489468,0.5484351713859911,0.5226330532649502
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,test:tour_surface,atp/Hard,3545,795,2024-01-01,2025-12-14,0.5845198177011867,0.6705218617771509,0.7532022001628333,0.19948851354007496,0.5136812411847673,0.5128995249629903
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,test:tour_surface,atp/Unknown,6,1,2024-09-15,2024-09-15,0.7900587487336016,0.6666666666666666,,0.2884826500154658,1.0,0.4791307691125204
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,test:tour_surface,wta/Clay,796,250,2024-03-21,2025-11-12,0.606814079844753,0.6582914572864321,0.7296035967578522,0.206873296230467,0.5276381909547738,0.5186547834660886
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,test:tour_surface,wta/Grass,319,99,2024-06-11,2025-07-12,0.5483221740136333,0.7115987460815048,0.77997557997558,0.18389069400507962,0.5924764890282131,0.5205847840544086
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,test:tour_surface,wta/Hard,2010,634,2024-01-01,2025-12-14,0.5712352444767725,0.6800995024875622,0.7575809484352094,0.19455014252545735,0.5383084577114428,0.5160451299933634
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,split,validation,4115,941,2023-01-01,2023-12-31,0.5985139245113987,0.6614823815309842,0.746924290146294,0.20312722836046607,0.505224787363305,0.5106247698355716
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,validation:checkpoint_type,late_game_start_total_ge10,1687,463,2023-01-01,2023-12-31,0.617210312492576,0.6627148784825133,0.7261013563390679,0.21339571213875017,0.5240071132187315,0.5163238034323326
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,validation:checkpoint_type,match_start,942,941,2023-01-01,2023-12-31,0.6930371841605023,0.49363057324840764,0.5010752688172043,0.2499452146916759,0.49363057324840764,0.5000579485800545
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,validation:checkpoint_type,set_start,1486,941,2023-01-01,2023-12-31,0.5173687582168481,0.7664872139973082,0.8443973327534973,0.16179110772926492,0.49125168236877526,0.5108533539169722
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,validation:tour_surface,atp/Clay,690,155,2023-01-15,2023-08-05,0.6518280113973204,0.6159420289855072,0.6988711960068135,0.2273912461346963,0.45362318840579713,0.5095225930753375
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,validation:tour_surface,atp/Grass,401,74,2023-06-12,2023-07-23,0.5941407603657878,0.6882793017456359,0.7645908094098884,0.2010924985230169,0.47880299251870323,0.49534692350307746
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,validation:tour_surface,atp/Hard,1841,378,2023-01-01,2023-12-31,0.5945187529229349,0.665942422596415,0.7563990445100637,0.19951564586035656,0.4986420423682781,0.5119753534204673
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,validation:tour_surface,wta/Clay,193,53,2023-04-03,2023-08-13,0.5947475920873686,0.6424870466321243,0.7397981099656358,0.2068715566651452,0.49740932642487046,0.5307505587918351
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,validation:tour_surface,wta/Grass,188,42,2023-06-12,2023-07-15,0.6855972927387647,0.5585106382978723,0.6267006802721088,0.2439711064796073,0.5212765957446809,0.5208703314515896
tennis_abstract_fixed_checkpoints_neutral_prior_live_counts,validation:tour_surface,wta/Hard,802,239,2023-01-01,2023-12-31,0.544495543833791,0.7057356608478803,0.7916666666666665,0.1810840529665736,0.5760598503740648,0.5088667288277517
