tour,source,surface,model,test_ll_pre_fix,test_ll_post_fix,test_ll_delta,test_acc_pre_fix,test_acc_post_fix,test_acc_delta,test_rows
atp,sackmann,Hard,logit_baseline,0.6044,0.604577882,0.000177882,0.6524,0.651843183,-0.000556817,1709
atp,sackmann,Hard,xgb_baseline,0.6617,0.661081188,-0.000618812,0.66,0.665301346,0.005301346,1709
atp,sackmann,Clay,logit_baseline,0.6141,0.614219613,0.000119613,0.6562,0.65615142,-4.85804E-05,951
atp,sackmann,Clay,xgb_baseline,0.6181,0.616383733,-0.001716267,0.6467,0.646687697,-1.23028E-05,951
atp,sackmann,Grass,logit_baseline,0.5973,0.596310475,-0.000989525,0.6698,0.66984127,4.12698E-05,315
atp,sackmann,Grass,xgb_baseline,0.5828,0.582680772,-0.000119228,0.6952,0.692063492,-0.003136508,315
atp,tml,Hard,logit_baseline,0.6178,0.615963365,-0.001836635,0.6503,0.641223478,-0.009076522,3629
atp,tml,Hard,xgb_baseline,0.5861,0.634053736,0.047953736,0.6856,0.653899146,-0.031700854,3629
atp,tml,Clay,logit_baseline,0.6161,0.623543148,0.007443148,0.6508,0.643463497,-0.007336503,1767
atp,tml,Clay,xgb_baseline,0.5718,0.625206595,0.053406595,0.7057,0.633842671,-0.071857329,1767
atp,tml,Grass,logit_baseline,0.5802,0.616568741,0.036368741,0.6955,0.661858974,-0.033641026,624
atp,tml,Grass,xgb_baseline,0.5357,0.61077132,0.07507132,0.726,0.657051282,-0.068948718,624
wta,sackmann,Hard,logit_baseline,0.6106,0.61067267,7.26699E-05,0.6588,0.660143509,0.001343509,1533
wta,sackmann,Hard,xgb_baseline,0.6138,0.613933427,0.000133427,0.6523,0.647749511,-0.004550489,1533
wta,sackmann,Clay,logit_baseline,0.5925,0.592644421,0.000144421,0.6812,0.682651622,0.001451622,709
wta,sackmann,Clay,xgb_baseline,0.6,0.599036538,-0.000963462,0.6671,0.658674189,-0.008425811,709
wta,sackmann,Grass,logit_baseline,0.647,0.647532823,0.000532823,0.6181,0.628472222,0.010372222,288
wta,sackmann,Grass,xgb_baseline,0.636,0.637833842,0.001833842,0.6215,0.611111111,-0.010388889,288
