tour,source,surface,model,test_ll_mean,test_ll_std,test_ll_min,test_ll_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max
atp,sackmann,Hard,logit_baseline,0.604483234,0,0.604483234,0.604483234,0.652428321,0,0.652428321,0.652428321
atp,sackmann,Hard,xgb_baseline,0.64144005,0.019183301,0.620937337,0.660923743,0.664131071,0.003096257,0.660035108,0.668227033
atp,sackmann,Clay,logit_baseline,0.614260955,0,0.614260955,0.614260955,0.655789474,0,0.655789474,0.655789474
atp,sackmann,Clay,xgb_baseline,0.618014752,0.001308099,0.616406762,0.619584644,0.649473684,0.006092546,0.643157895,0.657894737
atp,sackmann,Grass,logit_baseline,0.596310475,0,0.596310475,0.596310475,0.66984127,0,0.66984127,0.66984127
atp,sackmann,Grass,xgb_baseline,0.585581905,0.003930921,0.582680772,0.591958532,0.693968254,0.007308485,0.682539683,0.701587302
atp,tml,Hard,logit_baseline,0.603321485,0,0.603321485,0.603321485,0.650147493,0,0.650147493,0.650147493
atp,tml,Hard,xgb_baseline,0.625964312,0.015478161,0.603348208,0.640611741,0.660058997,0.004138213,0.653097345,0.663716814
atp,tml,Clay,logit_baseline,0.613106838,0,0.613106838,0.613106838,0.639327024,0,0.639327024,0.639327024
atp,tml,Clay,xgb_baseline,0.618336353,0.003921077,0.615466223,0.625249722,0.634490011,0.010451965,0.617245005,0.644584648
atp,tml,Grass,logit_baseline,0.588491676,0,0.588491676,0.588491676,0.695238095,0,0.695238095,0.695238095
atp,tml,Grass,xgb_baseline,0.592466896,0.001498429,0.591307735,0.594855532,0.684444444,0.004814524,0.679365079,0.692063492
wta,sackmann,Hard,logit_baseline,0.610653166,0,0.610653166,0.610653166,0.660795825,0,0.660795825,0.660795825
wta,sackmann,Hard,xgb_baseline,0.620784292,0.011952016,0.611101868,0.634735409,0.652837573,0.002895283,0.648401826,0.655577299
wta,sackmann,Clay,logit_baseline,0.593403236,0,0.593403236,0.593403236,0.68220339,0,0.68220339,0.68220339
wta,sackmann,Clay,xgb_baseline,0.599579673,0.001888159,0.597674151,0.60261491,0.66299435,0.003816174,0.65819209,0.666666667
wta,sackmann,Grass,logit_baseline,0.647532823,0,0.647532823,0.647532823,0.628472222,0,0.628472222,0.628472222
wta,sackmann,Grass,xgb_baseline,0.641407327,0.003612832,0.637833842,0.646915678,0.619444444,0.007993656,0.611111111,0.628472222
