tour,source,surface,model,day4_test_ll_mean,day4_test_ll_std,day7_test_ll,delta_vs_day4_mean,within_1x_std,day7_test_accuracy
atp,sackmann,Hard,logit_baseline,0.604483234,0.0,0.6029858874710825,-0.0014973465289175314,False,0.657694558221182
atp,sackmann,Hard,xgb_baseline,0.64144005,0.019183301,0.6036707614206577,-0.037769288579342364,False,0.6495026331187829
atp,sackmann,Clay,logit_baseline,0.614260955,0.0,0.6157798721916837,0.001518917191683733,False,0.6568421052631579
atp,sackmann,Clay,xgb_baseline,0.618014752,0.001308099,0.6215344959827843,0.003519743982784318,False,0.6526315789473685
atp,sackmann,Grass,logit_baseline,0.596310475,0.0,0.585440603795285,-0.010869871204715054,False,0.692063492063492
atp,sackmann,Grass,xgb_baseline,0.585581905,0.003930921,0.5864223124643225,0.0008404074643225679,True,0.7111111111111111
atp,tml,Hard,logit_baseline,0.603321485,0.0,0.6023667821331408,-0.0009547028668592805,False,0.6554572271386431
atp,tml,Hard,xgb_baseline,0.625964312,0.015478161,0.6055914696439592,-0.020372842356040866,False,0.6607669616519174
atp,tml,Clay,logit_baseline,0.613106838,0.0,0.6166208325301786,0.0035139945301786435,False,0.6445846477392219
atp,tml,Clay,xgb_baseline,0.618336353,0.003921077,0.6207292496602377,0.0023928966602376756,True,0.6330178759200841
atp,tml,Grass,logit_baseline,0.588491676,0.0,0.5786880099262133,-0.009803666073786688,False,0.7111111111111111
atp,tml,Grass,xgb_baseline,0.592466896,0.001498429,0.5882298693933868,-0.004237026606613181,False,0.7015873015873015
wta,sackmann,Hard,logit_baseline,0.610653166,0.0,0.6105148083781489,-0.000138357621851104,False,0.6601435094585779
wta,sackmann,Hard,xgb_baseline,0.620784292,0.011952016,0.6122339839189298,-0.008550308081070157,True,0.6568819308545336
wta,sackmann,Clay,logit_baseline,0.593403236,0.0,0.5892394901442077,-0.004163745855792267,False,0.6850282485875706
wta,sackmann,Clay,xgb_baseline,0.599579673,0.001888159,0.6019716089675782,0.0023919359675781404,False,0.6779661016949152
wta,sackmann,Grass,logit_baseline,0.647532823,0.0,0.6534081034103071,0.005875280410307049,False,0.6145833333333334
wta,sackmann,Grass,xgb_baseline,0.641407327,0.003612832,0.6352518745941637,-0.00615545240583637,False,0.6111111111111112
